epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,6269.35,1.36631,1.11468,1.10817,0.44703,0.36411,0.36154,0.21464,1.39596,1.15318,1.13784,0.002278,0.002278,0.002278
158,6307.54,1.35248,1.10041,1.1026,0.44134,0.36786,0.36144,0.21468,1.39652,1.15592,1.1378,0.0022285,0.0022285,0.0022285
159,6345.3,1.35617,1.10066,1.1069,0.44543,0.3676,0.36287,0.21557,1.39549,1.15424,1.1382,0.002179,0.002179,0.002179
160,6383.55,1.35779,1.10134,1.10761,0.44875,0.36224,0.36367,0.21494,1.39814,1.15575,1.13951,0.0021295,0.0021295,0.0021295
161,6421.76,1.35449,1.09594,1.1071,0.45075,0.3597,0.36186,0.21443,1.39797,1.15442,1.13983,0.00208,0.00208,0.00208
162,6459.97,1.35061,1.09067,1.10417,0.45036,0.36224,0.36199,0.21397,1.39792,1.15599,1.1389,0.0020305,0.0020305,0.0020305
163,6499.13,1.34434,1.08906,1.09916,0.44522,0.36396,0.36181,0.21397,1.39807,1.15524,1.13759,0.001981,0.001981,0.001981
164,6537.05,1.34637,1.08568,1.0994,0.44649,0.36635,0.36321,0.21504,1.39842,1.15076,1.13861,0.0019315,0.0019315,0.0019315
165,6575.09,1.34332,1.07967,1.10355,0.44852,0.36234,0.36249,0.21433,1.3965,1.14966,1.13759,0.001882,0.001882,0.001882
166,6614.52,1.34669,1.08176,1.10076,0.44937,0.36222,0.36282,0.21485,1.39577,1.14889,1.13721,0.0018325,0.0018325,0.0018325
167,6652.87,1.34267,1.08211,1.09745,0.45934,0.36362,0.36263,0.21427,1.39606,1.14787,1.13694,0.001783,0.001783,0.001783
168,6690.9,1.33732,1.07688,1.09809,0.46802,0.36687,0.36443,0.21548,1.39472,1.14377,1.13519,0.0017335,0.0017335,0.0017335
169,6729.13,1.34005,1.07622,1.09691,0.47063,0.36606,0.36602,0.21577,1.39443,1.14262,1.13441,0.001684,0.001684,0.001684
170,6767.46,1.33885,1.07224,1.10033,0.47159,0.36467,0.36571,0.21546,1.39507,1.14501,1.13393,0.0016345,0.0016345,0.0016345
171,6807.14,1.33921,1.07132,1.09802,0.46373,0.36651,0.36591,0.2159,1.39538,1.14603,1.1348,0.001585,0.001585,0.001585
172,6846.39,1.34325,1.06958,1.09878,0.46349,0.37005,0.36641,0.21622,1.39451,1.14544,1.1341,0.0015355,0.0015355,0.0015355
173,6884.74,1.34222,1.07218,1.09677,0.46414,0.3664,0.36782,0.21745,1.39456,1.14608,1.13374,0.001486,0.001486,0.001486
174,6923.98,1.33356,1.05737,1.09361,0.47127,0.36132,0.36833,0.217,1.39419,1.14741,1.13378,0.0014365,0.0014365,0.0014365
175,6962.15,1.33845,1.06235,1.10238,0.47337,0.35784,0.3688,0.21753,1.39427,1.14773,1.13357,0.001387,0.001387,0.001387
176,7001.03,1.34382,1.06377,1.09964,0.46159,0.3708,0.37128,0.21827,1.39364,1.14642,1.13339,0.0013375,0.0013375,0.0013375
177,7039.22,1.34376,1.06806,1.1005,0.45469,0.37443,0.37177,0.21883,1.39517,1.1468,1.1337,0.001288,0.001288,0.001288
178,7077.68,1.33215,1.05067,1.09467,0.4468,0.37674,0.37103,0.21879,1.39487,1.14848,1.13359,0.0012385,0.0012385,0.0012385
179,7115.69,1.33902,1.04894,1.09347,0.44213,0.3773,0.37017,0.21856,1.39421,1.15049,1.13334,0.001189,0.001189,0.001189
